,MNI_X,MNI_Y,MNI_Z,Subject,Intensity
0,-15.1435920336804,-14.083570425612100,-7.38450140551172,0,1
1,-15.0502679655458,-15.797848843617800,-6.19726574549572,0,1
2,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
3,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
4,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
5,-13.245183413211800,-13.6664808407269,-6.94203243989326,0,1
6,-14.5310580812023,-16.5566965073604,-7.833295695807770,0,1
7,-14.5310580812023,-16.5566965073604,-7.833295695807770,0,1
8,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
9,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
10,-12.730574114804000,-14.4146261897583,-8.57410015683545,0,1
11,-13.8419247742783,-15.9473717245615,-11.3455393342086,0,1
12,-13.8419247742783,-15.9473717245615,-11.3455393342086,0,1
13,-13.7623113995917,-17.661272252994600,-10.1503965834526,0,1
14,-11.9602742298381,-15.5025741817648,-10.9026266963067,0,1
15,-11.9602742298381,-15.5025741817648,-10.9026266963067,0,1
16,-15.84614348,-16.20438464,-6.606657508,1,1
17,-13.88624238,-15.79910703,-6.014101341,1,1
18,-13.88624238,-15.79910703,-6.014101341,1,1
19,-15.65398391,-16.40874417,-7.061236366,1,1
20,-15.72387348,-18.26273656,-5.8978907860000000,1,1
21,-13.69735713,-16.00412369,-6.469876393,1,1
22,-14.75381566,-17.36253819,-9.096662245,1,1
23,-14.85756588,-19.21852421,-7.984475265,1,1
24,-12.81523608,-16.95632668,-8.51860964,1,1
25,-14.544300969821700,-13.307693224891,-6.44241191314289,2,1
26,-14.60209706711,-15.164714344744,-5.27490176153644,2,1
27,-12.804232204463400,-12.914741871552,-5.85677006675003,2,1
28,-13.7739492047863,-14.243620059147,-8.41708547614003,2,1
29,-13.7739492047863,-14.243620059147,-8.41708547614003,2,1
30,-13.8424902164363,-16.0872911641134,-7.244558205165970,2,1
31,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
32,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
33,-12.0475652271265,-13.853092626161,-7.843069464647750,2,1
34,-13.0302290113243,-15.1650716895822,-10.3195322182577,2,1
35,-13.1144842166188,-16.999520477893700,-9.13816789547392,2,1
36,-13.1144842166188,-16.999520477893700,-9.13816789547392,2,1
37,-11.3165030275617,-14.7726985553288,-9.75812283905058,2,1
38,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
39,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
40,-13.453444444878300,-13.6728045914817,-7.29739013030643,3,1
41,-13.5407298425445,-15.273898327389700,-6.05520095093738,3,1
42,-13.5407298425445,-15.273898327389700,-6.05520095093738,3,1
43,-11.450208088471,-13.1320553789587,-6.45237797963138,3,1
44,-12.7856660516947,-14.8443198939133,-9.10027186025077,3,1
45,-12.7856660516947,-14.8443198939133,-9.10027186025077,3,1
46,-12.8827431389433,-16.462640341290700,-7.842226449488260,3,1
47,-10.8238248158544,-14.3058533705457,-8.24876684633561,3,1
48,-11.8720736176077,-13.5156144187982,-7.697009598367490,4,1
49,-11.8720736176077,-13.5156144187982,-7.697009598367490,4,1
50,-11.8111211010628,-15.0253417236869,-5.95839344568178,4,1
51,-9.97332319161858,-13.1074898221392,-7.397321326540310,4,1
52,-11.3518710953312,-14.9191514528256,-9.69804625991919,4,1
53,-11.3518710953312,-14.9191514528256,-9.69804625991919,4,1
54,-11.3169874699366,-16.402930795241700,-7.93071929036533,4,1
55,-9.52644147648499,-14.5219438067899,-9.45108386136411,4,1
56,-11.030316040120200,-15.753186781141700,-10.8563181822604,4,1
57,-11.0128122524441,-17.2134769389089,-9.071357833557150,4,1
58,-9.24385187371605,-15.3567268721467,-10.6362620100977,4,1
59,-9.24385187371605,-15.3567268721467,-10.6362620100977,4,1
60,-9.24385187371605,-15.3567268721467,-10.6362620100977,4,1
61,-13.4260287934488,-15.252032954367,-7.6023462698524,5,1
62,-13.2814666724827,-17.067244614378600,-6.59591302918771,5,1
63,-13.0866268528076,-15.6280318830722,-8.58878311198306,5,1
64,-11.2503041763431,-15.2182435419506,-7.95196648346966,5,1
65,-12.670906180920900,-16.085147056374300,-9.76369177559722,5,1
66,-12.670906180920900,-16.085147056374300,-9.76369177559722,5,1
67,-12.5365205076864,-17.8827474168353,-8.77712737298137,5,1
68,-12.5365205076864,-17.8827474168353,-8.77712737298137,5,1
69,-13.6821993791371,-13.3781762163244,-6.556118954580340,6,1
70,-13.6821993791371,-13.3781762163244,-6.556118954580340,6,1
71,-13.6484520803807,-15.2263300854643,-5.399758620565210,6,1
72,-13.0938989449949,-14.3069180298205,-8.3547105447575,6,1
73,-13.071055360743,-16.1547125247172,-7.210825358590550,6,1
74,-12.934298431679100,-14.5564026574045,-8.850715239788700,6,1
75,-12.934298431679100,-14.5564026574045,-8.850715239788700,6,1
76,-12.9145602605293,-16.4037055625134,-7.70580766092503,6,1
77,-12.4771620410651,-15.2685482689063,-10.3018220430914,6,1
78,-12.4771620410651,-15.2685482689063,-10.3018220430914,6,1
79,-12.4642538254239,-17.112562316837300,-9.1459471317367,6,1
80,-13.7987716323243,-13.0827441424011,-8.51360098863269,7,1
81,-13.7180927115315,-15.018662752987000,-7.52798924319139,7,1
82,-13.7180927115315,-15.018662752987000,-7.52798924319139,7,1
83,-11.842281116402100,-12.7282013040685,-7.89212923483629,7,1
84,-11.842281116402100,-12.7282013040685,-7.89212923483629,7,1
85,-12.333781833673800,-14.2659759599487,-11.772652923072700,7,1
86,-12.4885958867436,-16.1932468592455,-10.5981651736694,7,1
87,-12.4885958867436,-16.1932468592455,-10.5981651736694,7,1
88,-10.779655607787,-13.6899109489059,-11.4641682673638,7,1
89,-10.779655607787,-13.6899109489059,-11.4641682673638,7,1
90,-13.1770631741788,-15.5964375177267,-8.846568738687290,7,1
91,-13.1770631741788,-15.5964375177267,-8.846568738687290,7,1
92,-13.1770631741788,-15.5964375177267,-8.846568738687290,7,1
93,-13.1770631741788,-15.5964375177267,-8.846568738687290,7,1
94,-11.32775667002,-13.2361392377358,-9.39890990111936,7,1
95,-15.2318252229175,-14.7000838722176,-6.03685477613624,8,1
96,-15.374796519105800,-16.5098936583273,-4.519688922541520,8,1
97,-15.374796519105800,-16.5098936583273,-4.519688922541520,8,1
98,-15.374796519105800,-16.5098936583273,-4.519688922541520,8,1
99,-13.1249447347429,-14.3837007944451,-5.32248885640606,8,1
100,-14.788360442404400,-15.4655606655581,-7.6384989657783700,8,1
101,-14.788360442404400,-15.4655606655581,-7.6384989657783700,8,1
102,-14.9369511252424,-17.2898793269232,-6.16415100656912,8,1
103,-12.6971293264199,-15.1333187438375,-6.9571175004543,8,1
104,-13.870192374306,-14.7729891717986,-9.35313527317672,9,1
105,-13.868824708766200,-16.5670613027897,-7.89754877248253,9,1
106,-14.356111822687300,-14.7512672875078,-7.333247111495890,10,1
107,-14.0181578868802,-15.2766659768952,-8.1396501830917,10,1
108,-14.0181578868802,-15.2766659768952,-8.1396501830917,10,1
109,-14.2013022598999,-17.1175566402352,-6.73162515228369,10,1
110,-11.966998912934,-14.8423080862989,-7.28745976337137,10,1
111,-13.0589685095951,-16.7414997123399,-10.3605510159253,10,1
112,-13.0589685095951,-16.7414997123399,-10.3605510159253,10,1
113,-10.9860459495354,-16.324084291016,-9.53015806035444,10,1
114,-13.4331252551124,-15.0950850446326,-7.00458704969183,11,1
115,-13.4331252551124,-15.0950850446326,-7.00458704969183,11,1
116,-12.7421397858141,-15.5968687188498,-8.62242963227458,11,1
117,-12.7590195230925,-17.8546865956956,-7.611886458703800,11,1
118,-12.7590195230925,-17.8546865956956,-7.611886458703800,11,1
119,-12.7590195230925,-17.8546865956956,-7.611886458703800,11,1
120,-10.7501242134611,-15.1200903046651,-7.68561755280875,11,1
121,-15.0935548495657,-15.0201177333737,-5.65446226125553,12,1
122,-15.0935548495657,-15.0201177333737,-5.65446226125553,12,1
123,-15.0935548495657,-15.0201177333737,-5.65446226125553,12,1
124,-13.0399462394878,-12.890725085929500,-6.27712057234892,12,1
125,-14.175204350077700,-14.0636402381295,-8.74600402929667,12,1
126,-14.2957719670565,-15.9872002060033,-7.601955847855560,12,1
127,-12.2564669417526,-13.8446500020919,-8.26368368835014,12,1
128,-11.865794481082100,-18.4144057438593,-8.34902151672176,13,1
129,-12.2703185932302,-19.8608791219723,-7.072848043284220,13,1
130,-11.5999797712483,-18.90623193427,-9.25507848393232,13,1
131,-11.5999797712483,-18.90623193427,-9.25507848393232,13,1
132,-11.5999797712483,-18.90623193427,-9.25507848393232,13,1
133,-12.0037461836305,-20.3473968967317,-7.98108582432054,13,1
134,-9.62190603061291,-18.973601873288,-8.460910193384120,13,1
135,-9.62190603061291,-18.973601873288,-8.460910193384120,13,1
136,-9.62190603061291,-18.973601873288,-8.460910193384120,13,1
137,-14.4867961415013,-13.1215727258927,-8.196191054011510,14,1
138,-14.4867961415013,-13.1215727258927,-8.196191054011510,14,1
139,-14.3556099453915,-15.0465106598459,-7.21902860145064,14,1
140,-14.3556099453915,-15.0465106598459,-7.21902860145064,14,1
141,-14.3556099453915,-15.0465106598459,-7.21902860145064,14,1
142,-14.3556099453915,-15.0465106598459,-7.21902860145064,14,1
143,-12.5706988652297,-12.639939065285100,-7.69532050955914,14,1
144,-13.6200200497908,-16.1878687745953,-10.8283548809076,14,1
145,-13.831467452031900,-14.2443614540474,-11.8803046046736,14,1
146,-13.6200200497908,-16.1878687745953,-10.8283548809076,14,1
147,-11.9479117131516,-13.7700004666503,-11.3689223815095,14,1
148,-14.436671403202700,-13.3685764048006,-7.341944763288750,15,1
149,-14.436671403202700,-13.3685764048006,-7.341944763288750,15,1
150,-14.4217141472808,-15.2875470017129,-6.24895302240869,15,1
151,-12.4172725710686,-12.8823973406019,-6.90005388346304,15,1
152,-13.9681317423241,-14.059802381319200,-8.93070866038205,15,1
153,-13.9681317423241,-14.059802381319200,-8.93070866038205,15,1
154,-13.9681317423241,-14.059802381319200,-8.93070866038205,15,1
155,-13.9702180403861,-15.9835911959141,-7.831311075330160,15,1
156,-14.4625230868936,-14.0280217702346,-7.40458618622466,16,1
157,-12.4777189217284,-13.557575498694,-6.7952697377902100,16,1
158,-13.7744264881396,-15.0923179150324,-9.70725740767363,16,1
159,-13.9523513986128,-16.8602422184881,-8.32379530332825,16,1
160,-13.9523513986128,-16.8602422184881,-8.32379530332825,16,1
161,-11.7623657686753,-14.63769911143,-9.09911297557394,16,1
162,-13.6286710001882,-11.7171535826796,-5.18083210255645,17,1
163,-13.6286710001882,-11.7171535826796,-5.18083210255645,17,1
164,-13.9786074644248,-13.3530919536561,-3.97241678787962,17,1
165,-11.6252880554932,-11.4550286974007,-4.51691769946784,17,1
166,-13.1053762417375,-12.5263488923541,-6.4171106312076,17,1
167,-13.1053762417375,-12.5263488923541,-6.4171106312076,17,1
168,-13.4565534807808,-14.1639923175344,-5.218033984865890,17,1
169,-13.4565534807808,-14.1639923175344,-5.218033984865890,17,1
170,-11.127369695316,-12.264703362948900,-5.76596661682232,17,1
171,-11.127369695316,-12.264703362948900,-5.76596661682232,17,1
172,-15.1596976990301,-12.4750892822512,-4.53832190636446,18,1
173,-15.1596976990301,-12.4750892822512,-4.53832190636446,18,1
174,-15.2739669028798,-14.395047882541400,-3.1926014737759500,18,1
175,-14.947362934151300,-13.0200072037726,-5.68232715563929,18,1
176,-14.947362934151300,-13.0200072037726,-5.68232715563929,18,1
177,-15.0544338145815,-14.943000252326,-4.33897374069385,18,1
178,-15.0544338145815,-14.943000252326,-4.33897374069385,18,1
179,-12.7920732893558,-12.7807509726748,-4.835109784133650,18,1
180,-12.7920732893558,-12.7807509726748,-4.835109784133650,18,1
181,-14.5353490606347,-13.9639976127373,-7.60898298460963,18,1
182,-14.6366888570773,-15.878995551371700,-6.278771893114360,18,1
183,-14.6366888570773,-15.878995551371700,-6.278771893114360,18,1
184,-12.405991876951,-13.7380703625086,-6.776150451049630,18,1
185,-12.405991876951,-13.7380703625086,-6.776150451049630,18,1
186,-12.405991876951,-13.7380703625086,-6.776150451049630,18,1
187,-12.405991876951,-13.7380703625086,-6.776150451049630,18,1
188,-11.2853796937349,-15.8113432008421,-2.91468119372184,19,1
189,-11.2853796937349,-15.8113432008421,-2.91468119372184,19,1
190,-9.21573188164876,-13.9050300323828,-3.67740666185867,19,1
191,-9.21573188164876,-13.9050300323828,-3.67740666185867,19,1
192,-9.21573188164876,-13.9050300323828,-3.67740666185867,19,1
193,-11.143326677203,-14.1463523208704,-8.12563802775357,20,1
194,-11.143326677203,-14.1463523208704,-8.12563802775357,20,1
195,-12.6994512400972,-15.544966599158100,-10.0459055120158,20,1
196,-12.6994512400972,-15.544966599158100,-10.0459055120158,20,1
197,-13.228696412401300,-16.9518725830251,-8.52705760142227,20,1
198,-10.878055346379300,-17.338806086570100,-8.975399642354640,21,1
199,-10.9431122165383,-19.0408311113769,-7.765304455300680,21,1
200,-9.19051648789373,-17.1987634218019,-8.09023833482254,21,1
201,-10.8491166340387,-17.3914571744801,-9.0620600975466,21,1
202,-12.531485163399800,-13.0272119407028,-7.74186575901741,22,1
203,-12.531485163399800,-13.0272119407028,-7.74186575901741,22,1
204,-12.185466018499,-13.7276054934755,-8.998178308918720,22,1
205,-12.2294299739479,-15.4716911009862,-7.70098657054515,22,1
206,-12.2294299739479,-15.4716911009862,-7.70098657054515,22,1